rank,name,nation,startnr,total,tech,pcs,deductions,competition,element,call,base_value,goe,Judge No.1,Judge No.2,Judge No.3,Judge No.4,Judge No.5,Judge No.6,Judge No.7,Judge No.8,final_element_score
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,4T+3T,None,13.7,3.12,3.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,16.82
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,4S,None,9.7,2.36,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,12.06
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,FCSp4,None,3.2,0.87,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.07
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,3A,x,8.8,1.49,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,10.29
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,CSSp4,None,3.0,0.77,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.77
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,StSq4,None,3.9,1.17,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.07
1,Andrei MOZALEV,RUS,33,99.76,56.73,43.03,0.0,ec2022SEG001OF,CCoSp4,None,3.5,1.15,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.65
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,4T,None,9.5,2.99,4.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,12.49
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,3A,None,8.0,2.17,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,10.17
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,CSSp4,None,3.0,0.81,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.81
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,4S+3T,x,15.29,1.94,2.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,17.23
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,StSq4,None,3.9,1.34,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,5.24
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,FCSp3,None,2.8,0.4,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.2
2,Mark KONDRATIUK,RUS,25,99.06,56.59,42.47,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.95,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.45
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,4T+3T,None,13.7,2.85,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,16.55
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,4S,None,9.7,1.8,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,11.5
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,CCoSp4,None,3.5,0.85,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.35
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,3A,x,8.8,2.86,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,11.66
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,CSSp4,None,3.0,0.73,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.73
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,StSq3,None,3.3,1.08,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.38
3,Evgeni SEMENENKO,RUS,29,99.04,56.33,42.71,0.0,ec2022SEG001OF,FCSp4,None,3.2,0.96,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.16
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,4S+3T,None,13.9,2.49,3.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,16.39
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,3A<,<,6.4,-0.64,0.0,-1.0,0.0,-2.0,-2.0,-1.0,-1.0,-1.0,5.76
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,FCSp4,None,3.2,0.55,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.75
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,4T,x,10.45,2.44,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,12.89
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,StSq4,None,3.9,1.11,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.01
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,CSSp4,None,3.0,0.51,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.51
4,Morisi KVITELASHVILI,GEO,32,92.76,51.12,41.64,0.0,ec2022SEG001OF,CCoSp3,None,3.0,0.81,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.81
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,4Lz!,!,11.5,0.99,0.0,2.0,1.0,1.0,-1.0,0.0,2.0,1.0,12.49
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,3Lz!+3T,!,10.1,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,10.1
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,FSSp4,None,3.0,0.43,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,3.43
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,3A,x,8.8,1.71,0.0,3.0,3.0,0.0,2.0,2.0,2.0,3.0,10.51
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,StSq3,None,3.3,0.99,3.0,4.0,4.0,0.0,3.0,3.0,2.0,3.0,4.29
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,CCSp4,None,3.2,1.1,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.3
5,Daniel GRASSL,ITA,34,91.75,49.82,41.93,0.0,ec2022SEG001OF,CCoSp4,None,3.5,1.2,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.7
6,Deniss VASILJEVS,LAT,31,90.24,46.74,43.5,0.0,ec2022SEG001OF,3F!,!,5.3,0.3,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,5.6
6,Deniss VASILJEVS,LAT,31,90.24,46.74,43.5,0.0,ec2022SEG001OF,3A,None,8.0,2.06,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,10.06
6,Deniss VASILJEVS,LAT,31,90.24,46.74,43.5,0.0,ec2022SEG001OF,CCSp4,None,3.2,1.14,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.34
6,Deniss VASILJEVS,LAT,31,90.24,46.74,43.5,0.0,ec2022SEG001OF,FSSp4,None,3.0,1.16,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.16
6,Deniss VASILJEVS,LAT,31,90.24,46.74,43.5,0.0,ec2022SEG001OF,3Lz+3T,x,11.11,1.35,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,12.46
