competition,role,judge,country
fc2025SEG001OF,Judge No.1,Jung Sue LEE,South Korea
fc2025SEG001OF,Judge No.2,Ariadna MORONES NEGRETE,Mexico
fc2025SEG001OF,Judge No.3,Saodat NUMANOVA,Uzbekistan
fc2025SEG001OF,Judge No.4,Joanna MILLER,Australia
fc2025SEG001OF,Judge No.5,Mami MAEDA,Japan
fc2025SEG001OF,Judge No.6,Nadezhda PARETSKAIA,Kazakhstan
fc2025SEG001OF,Judge No.7,Rui ZHAO,China
fc2025SEG001OF,Judge No.8,Andre-Marc ALLAIN,Canada
fc2025SEG001OF,Judge No.9,Steven HSU,USA
fc2025SEG002OF,Judge No.1,Rui ZHAO,China
fc2025SEG002OF,Judge No.2,Andre-Marc ALLAIN,Canada
fc2025SEG002OF,Judge No.3,Saodat NUMANOVA,Uzbekistan
fc2025SEG002OF,Judge No.4,Nadezhda PARETSKAIA,Kazakhstan
fc2025SEG002OF,Judge No.5,Jung Sue LEE,South Korea
fc2025SEG002OF,Judge No.6,Joanna MILLER,Australia
fc2025SEG002OF,Judge No.7,Steven HSU,USA
fc2025SEG002OF,Judge No.8,Mami MAEDA,Japan
fc2025SEG002OF,Judge No.9,Ariadna MORONES NEGRETE,Mexico
fc2025SEG003OF,Judge No.1,Weiguang CHEN,China
fc2025SEG003OF,Judge No.2,Nobuhiko YOSHIOKA,Japan
fc2025SEG003OF,Judge No.3,Neil GARRARD,South Africa
fc2025SEG003OF,Judge No.4,Sung Hee KOH,South Korea
fc2025SEG003OF,Judge No.5,Anne CAMMETT,USA
fc2025SEG003OF,Judge No.6,Elizabeth ALEXANDRE,Australia
fc2025SEG003OF,Judge No.7,Marina BESCHEA,Romania
fc2025SEG003OF,Judge No.8,Sasha MARTINEZ,Mexico
fc2025SEG003OF,Judge No.9,Jeff LUKASIK,Canada
fc2025SEG004OF,Judge No.1,Weiguang CHEN,China
fc2025SEG004OF,Judge No.2,Neil GARRARD,South Africa
fc2025SEG004OF,Judge No.3,Jeff LUKASIK,Canada
fc2025SEG004OF,Judge No.4,Nobuhiko YOSHIOKA,Japan
fc2025SEG004OF,Judge No.5,Elizabeth ALEXANDRE,Australia
fc2025SEG004OF,Judge No.6,Anne CAMMETT,USA
fc2025SEG004OF,Judge No.7,Sung Hee KOH,South Korea
fc2025SEG004OF,Judge No.8,Sasha MARTINEZ,Mexico
fc2025SEG004OF,Judge No.9,Marina BESCHEA,Romania
ec2025SEG001OF,Judge No.1,Ludwig CZOCZEK,Germany
